idparcel,centerx, centery, length, width, height, orientation
0, 1051196.9934000915, 6840579.037168694, 13.416834188891732, 6.685314336970614, 23.800935049663554, 1.2132578658524835
0, 1051202.8187707332, 6840594.692237777, 19.999898181595057, 6.9301143618077745, 23.801017207418695, 1.211050362241584
1, 1051167.492841396, 6840613.290133636, 15.87344379011215, 16.944348507381157, 23.800692453881464, 1.1915667674653223
2, 1051152.7492487058, 6840619.329332889, 17.747365249385734, 18.501676256872628, 23.800914886081227, 1.1649272910046944
2, 1051133.3509548875, 6840609.022436159, 19.388965020784628, 19.588209917082143, 23.800726726750014, 2.773685130409791
2, 1051148.6260904656, 6840602.116516695, 14.084407157522659, 17.37084263675544, 23.801021571419742, 2.773524801948935
3, 1051086.6976918096, 6840607.07628202, 19.999970278689627, 19.99997049609324, 23.801033146129274, 2.801096507222786
4, 1051075.1795049664, 6840610.591588111, 5.764011006189184, 18.33723136751821, 23.801013447013098, 2.659922494695506
5, 1051109.0698754205, 6840618.080471139, 14.95934822058352, 19.3063948702941, 23.801010617487865, 2.7299543372745743
5, 1051116.6315539463, 6840635.514135608, 15.288254628359748, 18.69778406948189, 23.800918254616665, 2.727512473053185
6, 1051157.1641474743, 6840581.860765142, 19.50562875459268, 19.99990477632765, 23.801004712734056, 1.223061877422663
6, 1051163.92467643, 6840598.809178703, 17.1025307126741, 19.99996227408602, 23.80087114277668, 1.1472521862293037
7, 1051124.0925833134, 6840593.665716833, 19.911473783172596, 19.531502265407305, 23.801023210503686, 2.7871931474176885
7, 1051141.3319494904, 6840587.423258587, 16.762765019205872, 19.125699474462465, 23.801031039176344, 2.7830629191139677
8, 1051105.7223227024, 6840600.294686014, 19.85879184825428, 19.999984527532913, 23.80103335972466, 1.2206891114290008
9, 1051182.6994724204, 6840570.595967571, 18.090237241363294, 14.869919516599257, 23.8010293907142, 2.8001019055968106
9, 1051192.0142683, 6840584.949458837, 10.558945582083503, 18.40914925642103, 23.80091362507632, 2.7942542223364435
9, 1051170.052359365, 6840574.9519424485, 8.664493224549993, 15.039561028024623, 23.80100341243563, 2.7993847007800987
9, 1051179.480226229, 6840589.913993632, 16.38540854289283, 19.47025084503552, 23.801027114249877, 2.7981782736778587
10, 1051192.621596697, 6840567.354882459, 15.22821328202683, 6.417765437183566, 23.80086012999446, 1.2044424016675455
11, 1051138.6849621069, 6840625.659669461, 18.402193719734544, 16.04833168488325, 23.80101761865385, 1.1465154884199995
12, 1051095.5221155554, 6840646.35214358, 16.426579464927602, 7.591936250177184, 23.801000689932586, 1.1099470907777744
13, 1051095.3686249994, 6840632.14762561, 13.312162810886402, 19.99991702662154, 23.801015810788027, 1.1707170578934258
14, 1051104.7152803761, 6840642.270929243, 16.536159219016092, 15.809725971371156, 23.800995790476236, 1.1501587635152337
15, 1051194.6064084305, 6840600.845650507, 16.00510794241201, 16.10190664182141, 23.801000799164804, 1.1706073068424765
16, 1051181.2504997528, 6840607.0516764, 16.56807525499178, 16.152201379926122, 23.80089783466806, 2.7231610989047126
17, 1051090.118767058, 6840621.653402368, 19.999976342719, 13.464274572958054, 23.801006810409223, 2.7887462626346524
18, 1051127.19111973, 6840629.97299009, 12.420809729047805, 19.99999093948241, 23.80095233985234, 2.720248436011596
18, 1051119.577593099, 6840612.993135801, 17.19524576151205, 12.29946318268651, 23.80098933826288, 1.1541242932879683
